,Name,Abbr.,Native,Capital,Area,Population,Density,% Urban,lat,lng
0,Dakahlia,DQH,الدقهلية,Al-Manṣūrah,3538,6492381,1835.042679479932,28.2,31.036372999999998,31.380691
1,Red Sea,BAH,البحر الأحمر,Al-Ghurdaqah,120000,359888,2.9990666666666668,95.1,26.729177000000004,33.936510999999996
2,Beheira,BHR,البحيرة,Damanhūr,9826,6171613,628.090067168736,19.5,31.032821000000002,30.42527
3,Fayoum,FYM,الفيوم,Al-Fayyūm,6068,3596954,592.7742254449571,22.5,29.309949,30.841803999999996
4,Gharbia,GHB,الغربية,Ṭanṭā,1942,4999633,2574.4763130793,30.0,30.788471,31.001921000000003
5,Alexandria,ISK,الإسكندرية,Al-Iskandariyah,2300,5163750,2245.108695652174,98.8,31.215645000000002,29.955265999999998
6,Ismailia,ISM,الإسماعيلية,Al-Ismā'īliyah,5067,1303993,257.3501085454904,45.4,30.604271999999998,32.272252
7,Giza,JIZ,الجيزة,Al-Jīzah,13184,8632021,654.7346025485436,58.6,30.008079,31.210931
8,Monufia,MNF,المنوفية,Shibīn al-Kawm,2499,4301601,1721.328931572629,20.6,30.597200,30.987600
9,Al-Minya,MNY,المنيا,Al-Minyā,32279,5497095,170.29942067598128,18.9,28.109884,30.750299
10,Cairo,QAH,القاهرة,Al-Qāhirah,3085,9539673,3092.2764991896274,100.0,30.07708,31.285909000000004
11,Qalyubia,QLY,القليوبية,Banhā,1124,5627420,5006.601423487545,44.7,30.459065000000002,31.178577
12,Luxor,UQS,الأقصر,Al-Uqṣur,2960,1250209,422.3679054054054,37.8,25.695857999999998,32.643592
13,New Valley,WJD,الوادي الجديد,Al-Khārijah,440098,241247,0.5481665447241296,48.0,25.451404999999998,30.546346000000003
14,Sharqia,SQY,الشرقية,Az-Zaqāzīq,4911,7163824,1458.730197515781,23.1,30.587676000000002,31.501996999999996
15,Suez,SWS,السويس,As-Suways,9002,728180,80.89091313041547,100.0,29.973714,32.526267
16,Aswan,ASW,أسوان,Aswān,62726,1473975,23.498628957688997,42.3,24.093432999999997,32.907038
17,Asyut,ASY,أسيوط,Asyūṭ,13720,4383289,319.4817055393586,26.5,27.180956,31.183683000000002
18,Beni Suef,BSW,بنى سويف,Banī Suwayf,10954,3154100,287.9404783640679,23.2,29.074409000000003,31.097848
19,Port Said,BSD,بور سعيد,Būr Sa'īd,1345,749371,557.1531598513011,100.0,31.256541,32.284115
20,Damietta,DMY,دمياط,Dumyāṭ,910,1496765,1644.7967032967033,38.7,31.416477,31.813315999999997
21,Kafr el-Sheikh,KSH,كفر الشيخ,Kafr ash-Shaykh,3467,3362185,969.7678107874243,23.1,31.114303999999997,30.940115999999996
22,Matrouh,MTR,مطروخ,Marsā Maṭrūḥ,166563,425624,2.5553334173856137,70.6,31.352539,27.245275
23,Qena,QNA,قنا,Qinā,8980,3164281,352.3698218262806,19.7,26.164179,32.72671
24,Sohag,SWJ,سوهاج,Sawhāj,11218,4967409,442.80700659654127,21.4,26.556952000000003,31.694784999999996
25,South Sinai,SJN,جنوب سيناء,Aṭ-Ṭūr,31272,102018,3.262279355333845,51.1,28.236381,33.625403999999996
26,North Sinai,SSH,شمال سيناء,Al-'Arīsh,27564,450328,16.337541721085472,60.2,31.128659999999996,33.797117
